target,source,status,count,phase,source_weekend_home,target_weekend_home
14921141,20253942,YES,5,2,0.019439064769,0.00646579890259
15568852,20253942,YES,2,2,0.019439064769,0.00572334732535
24703881,20253942,YES,6,2,0.019439064769,0.00393728354384
28739330,20253942,YES,2,2,0.019439064769,0.0186824579046
61823778,20253942,YES,1,2,0.019439064769,0.0
745791692,20253942,YES,1,2,0.019439064769,0.00220058430632
2152143480,20253942,YES,2,2,0.019439064769,0.00995865131275
3401318093,20253942,YES,2,2,0.019439064769,0.00681232480771
13175582,818155,YES,1,2,0.00889920199493,0.00940434845035
17941979,818155,YES,1,2,0.00889920199493,0.0
18809624,818155,YES,2,2,0.00889920199493,0.00131927393787
25549372,818155,YES,1,2,0.00889920199493,0.00151856608611
26725246,818155,YES,2,2,0.00889920199493,0.00735487717657
38763227,818155,YES,2,2,0.00889920199493,0.0
48918395,818155,YES,7,2,0.00889920199493,0.0
85998031,818155,YES,2,2,0.00889920199493,0.00341532480735
172085616,818155,YES,2,2,0.00889920199493,0.00317876498076
487104933,818155,YES,9,2,0.00889920199493,0.0
514613499,818155,YES,4,2,0.00889920199493,0.0111798747135
1327155384,818155,YES,2,2,0.00889920199493,0.0
3000096146,818155,YES,2,2,0.00889920199493,0.0
4459903099,818155,YES,2,2,0.00889920199493,0.0
15568852,213405395,YES,8,2,0.00557159234134,0.00572334732535
20253942,213405395,YES,2,2,0.00557159234134,0.019439064769
26460305,213405395,YES,1,2,0.00557159234134,0.000513059606062
35075210,213405395,YES,1,2,0.00557159234134,0.0
49559323,213405395,YES,2,2,0.00557159234134,0.0
112468555,213405395,YES,1,2,0.00557159234134,0.0165002219502
140241017,213405395,YES,2,2,0.00557159234134,0.0
141323179,213405395,YES,1,2,0.00557159234134,0.0
163688274,213405395,YES,1,2,0.00557159234134,0.0
172759774,213405395,YES,2,2,0.00557159234134,0.0
218713117,213405395,YES,2,2,0.00557159234134,0.0
256224751,213405395,YES,2,2,0.00557159234134,0.0
260232867,213405395,YES,2,2,0.00557159234134,0.0258056088182
296676049,213405395,YES,2,2,0.00557159234134,0.00336161294519
300577552,213405395,YES,2,2,0.00557159234134,0.00696642273585
311753127,213405395,YES,1,2,0.00557159234134,0.00496097024492
374855929,213405395,YES,2,2,0.00557159234134,0.0
390197534,213405395,YES,1,2,0.00557159234134,0.0
408865337,213405395,YES,2,2,0.00557159234134,0.0
478913740,213405395,YES,1,2,0.00557159234134,0.0
485285490,213405395,YES,2,2,0.00557159234134,0.00880422582514
486910069,213405395,YES,2,2,0.00557159234134,0.0
539978648,213405395,YES,2,2,0.00557159234134,0.00541541607441
601155306,213405395,YES,6,2,0.00557159234134,0.0206906279084
884847343,213405395,YES,8,2,0.00557159234134,0.0
992310427,213405395,YES,2,2,0.00557159234134,0.0
1206130309,213405395,YES,4,2,0.00557159234134,0.0
1237091292,213405395,YES,2,2,0.00557159234134,0.0144232127505
1255925394,213405395,YES,2,2,0.00557159234134,0.0
1264656030,213405395,YES,2,2,0.00557159234134,0.0
1416297667,213405395,YES,1,2,0.00557159234134,0.0
1452770046,213405395,YES,2,2,0.00557159234134,0.0
1525296006,213405395,YES,6,2,0.00557159234134,0.00695811189067
2242889774,213405395,YES,8,2,0.00557159234134,0.0
2305468748,213405395,YES,2,2,0.00557159234134,0.0029356961591
2329507819,213405395,YES,2,2,0.00557159234134,0.0
2427263750,213405395,YES,2,2,0.00557159234134,0.0077798805774
2555217416,213405395,YES,6,2,0.00557159234134,0.0244346232941
2915031318,213405395,YES,2,2,0.00557159234134,0.0
2937924029,213405395,YES,6,2,0.00557159234134,0.0
2975842495,213405395,YES,1,2,0.00557159234134,0.0
3148349701,213405395,YES,2,2,0.00557159234134,0.0
4471175473,213405395,YES,8,2,0.00557159234134,0.0
6352222,86369703,YES,1,2,0.00482058423052,0.00283116461157
16529427,86369703,YES,1,2,0.00482058423052,0.00427031967659
18809624,86369703,YES,34,2,0.00482058423052,0.00131927393787
19455010,86369703,YES,2,2,0.00482058423052,0.00307653120899
19576316,86369703,YES,1,2,0.00482058423052,0.0
20486606,86369703,YES,2,2,0.00482058423052,0.00112379992961
32571309,86369703,YES,1,2,0.00482058423052,0.0
157448293,86369703,YES,1,2,0.00482058423052,0.0
172105978,86369703,YES,1,2,0.00482058423052,0.0052330365515
14292954,15452859,YES,4,2,0.00297017548164,0.000586559561728
15642916,15452859,YES,2,2,0.00297017548164,0.0
68296245,15452859,YES,11,2,0.00297017548164,0.00418333953231
204162470,15452859,YES,1,2,0.00297017548164,0.00223312729824
213405395,15452859,YES,1,2,0.00297017548164,0.00557159234134
319809082,15452859,YES,2,2,0.00297017548164,0.0
361177282,15452859,YES,1,2,0.00297017548164,0.0
613382039,15452859,YES,4,2,0.00297017548164,0.0
704355078,15452859,YES,2,2,0.00297017548164,0.00208200691575
1374601428,15452859,YES,1,2,0.00297017548164,4.46390117143e-05
4027167933,15452859,YES,1,2,0.00297017548164,0.0
14921141,20253942,YES,5,3,0.019439064769,0.00646579890259
15568852,20253942,YES,2,3,0.019439064769,0.00572334732535
24703881,20253942,YES,6,3,0.019439064769,0.00393728354384
28739330,20253942,YES,2,3,0.019439064769,0.0186824579046
61823778,20253942,YES,1,3,0.019439064769,0.0
745791692,20253942,YES,1,3,0.019439064769,0.00220058430632
2152143480,20253942,YES,2,3,0.019439064769,0.00995865131275
3401318093,20253942,YES,2,3,0.019439064769,0.00681232480771
13175582,818155,YES,1,3,0.00889920199493,0.00940434845035
17941979,818155,YES,1,3,0.00889920199493,0.0
18809624,818155,YES,2,3,0.00889920199493,0.00131927393787
25549372,818155,YES,1,3,0.00889920199493,0.00151856608611
26725246,818155,YES,2,3,0.00889920199493,0.00735487717657
38763227,818155,YES,2,3,0.00889920199493,0.0
48918395,818155,YES,7,3,0.00889920199493,0.0
85998031,818155,YES,2,3,0.00889920199493,0.00341532480735
172085616,818155,YES,2,3,0.00889920199493,0.00317876498076
487104933,818155,YES,9,3,0.00889920199493,0.0
514613499,818155,YES,4,3,0.00889920199493,0.0111798747135
1327155384,818155,YES,2,3,0.00889920199493,0.0
3000096146,818155,YES,2,3,0.00889920199493,0.0
4459903099,818155,YES,2,3,0.00889920199493,0.0
18809624,123060735,Follower of Secondary_User,2,3,0.00707184796253,0.00131927393787
15568852,213405395,YES,8,3,0.00557159234134,0.00572334732535
20253942,213405395,YES,2,3,0.00557159234134,0.019439064769
26460305,213405395,YES,1,3,0.00557159234134,0.000513059606062
35075210,213405395,YES,1,3,0.00557159234134,0.0
49559323,213405395,YES,2,3,0.00557159234134,0.0
112468555,213405395,YES,1,3,0.00557159234134,0.0165002219502
140241017,213405395,YES,2,3,0.00557159234134,0.0
141323179,213405395,YES,1,3,0.00557159234134,0.0
163688274,213405395,YES,1,3,0.00557159234134,0.0
172759774,213405395,YES,2,3,0.00557159234134,0.0
218713117,213405395,YES,2,3,0.00557159234134,0.0
256224751,213405395,YES,2,3,0.00557159234134,0.0
260232867,213405395,YES,2,3,0.00557159234134,0.0258056088182
296676049,213405395,YES,2,3,0.00557159234134,0.00336161294519
300577552,213405395,YES,2,3,0.00557159234134,0.00696642273585
311753127,213405395,YES,1,3,0.00557159234134,0.00496097024492
374855929,213405395,YES,2,3,0.00557159234134,0.0
390197534,213405395,YES,1,3,0.00557159234134,0.0
408865337,213405395,YES,2,3,0.00557159234134,0.0
478913740,213405395,YES,1,3,0.00557159234134,0.0
485285490,213405395,YES,2,3,0.00557159234134,0.00880422582514
486910069,213405395,YES,2,3,0.00557159234134,0.0
539978648,213405395,YES,2,3,0.00557159234134,0.00541541607441
601155306,213405395,YES,6,3,0.00557159234134,0.0206906279084
884847343,213405395,YES,8,3,0.00557159234134,0.0
992310427,213405395,YES,2,3,0.00557159234134,0.0
1206130309,213405395,YES,4,3,0.00557159234134,0.0
1237091292,213405395,YES,2,3,0.00557159234134,0.0144232127505
1255925394,213405395,YES,2,3,0.00557159234134,0.0
1264656030,213405395,YES,2,3,0.00557159234134,0.0
1416297667,213405395,YES,1,3,0.00557159234134,0.0
1452770046,213405395,YES,2,3,0.00557159234134,0.0
1525296006,213405395,YES,6,3,0.00557159234134,0.00695811189067
2242889774,213405395,YES,8,3,0.00557159234134,0.0
2305468748,213405395,YES,2,3,0.00557159234134,0.0029356961591
2329507819,213405395,YES,2,3,0.00557159234134,0.0
2427263750,213405395,YES,2,3,0.00557159234134,0.0077798805774
2555217416,213405395,YES,6,3,0.00557159234134,0.0244346232941
2915031318,213405395,YES,2,3,0.00557159234134,0.0
2937924029,213405395,YES,6,3,0.00557159234134,0.0
2975842495,213405395,YES,1,3,0.00557159234134,0.0
3148349701,213405395,YES,2,3,0.00557159234134,0.0
4471175473,213405395,YES,8,3,0.00557159234134,0.0
6352222,86369703,YES,1,3,0.00482058423052,0.00283116461157
16529427,86369703,YES,1,3,0.00482058423052,0.00427031967659
18809624,86369703,YES,34,3,0.00482058423052,0.00131927393787
19455010,86369703,YES,2,3,0.00482058423052,0.00307653120899
19576316,86369703,YES,1,3,0.00482058423052,0.0
20486606,86369703,YES,2,3,0.00482058423052,0.00112379992961
32571309,86369703,YES,1,3,0.00482058423052,0.0
157448293,86369703,YES,1,3,0.00482058423052,0.0
172105978,86369703,YES,1,3,0.00482058423052,0.0052330365515
14292954,15452859,YES,4,3,0.00297017548164,0.000586559561728
15642916,15452859,YES,2,3,0.00297017548164,0.0
68296245,15452859,YES,11,3,0.00297017548164,0.00418333953231
204162470,15452859,YES,1,3,0.00297017548164,0.00223312729824
213405395,15452859,YES,1,3,0.00297017548164,0.00557159234134
319809082,15452859,YES,2,3,0.00297017548164,0.0
361177282,15452859,YES,1,3,0.00297017548164,0.0
613382039,15452859,YES,4,3,0.00297017548164,0.0
704355078,15452859,YES,2,3,0.00297017548164,0.00208200691575
1374601428,15452859,YES,1,3,0.00297017548164,4.46390117143e-05
4027167933,15452859,YES,1,3,0.00297017548164,0.0
18809624,15655027,YES,2,3,0.00277099907569,0.00131927393787
3401318093,114049072,Follower of Secondary_User,2,3,0.000903216319495,0.00681232480771
85998031,21586778,YES,2,3,0.000304016484307,0.00341532480735
35075210,483195215,YES,8,3,0.0,0.0
601155306,3222822031,Follower of Secondary_User,2,3,0.0,0.0206906279084
2915031318,7121092,YES,4,3,0.0,0.0
2915031318,873828446,YES,10,3,0.0,0.0
