target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
14921141,20253942,YES,5,2,0.0740058516729,0.00293319803693,0,1,1,food+cook,1,1,0,holiday+home
15568852,20253942,YES,2,2,0.0740058516729,0.00285264458046,0,1,1,holiday+xmas+newyear,1,1,0,holiday+home
24703881,20253942,YES,6,2,0.0740058516729,0.00052076537652,0,1,1,holiday+home,1,1,0,holiday+home
28739330,20253942,YES,2,2,0.0740058516729,0.00275699149839,0,1,1,holiday+xmas+newyear,1,1,0,holiday+home
61823778,20253942,YES,1,2,0.0740058516729,0.0,0,0,0,holiday+home,1,1,0,holiday+home
745791692,20253942,YES,1,2,0.0740058516729,0.00120624917256,0,1,1,holiday+home,1,1,0,holiday+home
2152143480,20253942,YES,2,2,0.0740058516729,0.00548206660162,0,1,1,holiday+home,1,1,0,holiday+home
3401318093,20253942,YES,2,2,0.0740058516729,0.00925429507532,0,1,1,food,1,1,0,holiday+home
15568852,213405395,YES,8,2,0.0175803234111,0.00285264458046,0,1,1,holiday+xmas+newyear,1,0,0,holiday+home
20253942,213405395,YES,2,2,0.0175803234111,0.0740058516729,1,1,0,holiday+home,1,0,0,holiday+home
26460305,213405395,YES,1,2,0.0175803234111,0.000105514815836,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
35075210,213405395,YES,1,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
49559323,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
112468555,213405395,YES,1,2,0.0175803234111,0.00249094080162,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
140241017,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
141323179,213405395,YES,1,2,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
163688274,213405395,YES,1,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
172759774,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
218713117,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
256224751,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
260232867,213405395,YES,2,2,0.0175803234111,0.00331240277683,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
296676049,213405395,YES,2,2,0.0175803234111,0.00139665757802,0,1,0,holiday+gift,1,0,0,holiday+home
300577552,213405395,YES,2,2,0.0175803234111,0.00140481939106,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
311753127,213405395,YES,1,2,0.0175803234111,0.00103033505921,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
374855929,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
390197534,213405395,YES,1,2,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
408865337,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
478913740,213405395,YES,1,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
485285490,213405395,YES,2,2,0.0175803234111,0.00138635107228,0,1,0,holiday+home,1,0,0,holiday+home
486910069,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
539978648,213405395,YES,2,2,0.0175803234111,0.00111243344948,0,1,0,holiday+home,1,0,0,holiday+home
601155306,213405395,YES,6,2,0.0175803234111,0.00430338399851,0,1,0,holiday+home,1,0,0,holiday+home
884847343,213405395,YES,8,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
992310427,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
1206130309,213405395,YES,4,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
1237091292,213405395,YES,2,2,0.0175803234111,0.000622282424032,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
1255925394,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
1264656030,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
1416297667,213405395,YES,1,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
1452770046,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
1525296006,213405395,YES,6,2,0.0175803234111,0.00155855176029,0,1,0,holiday+home,1,0,0,holiday+home
2242889774,213405395,YES,8,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
2305468748,213405395,YES,2,2,0.0175803234111,0.000892944869193,0,1,0,holiday+home,1,0,0,holiday+home
2329507819,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
2427263750,213405395,YES,2,2,0.0175803234111,0.00121881474111,0,1,0,holiday+home,1,0,0,holiday+home
2555217416,213405395,YES,6,2,0.0175803234111,0.00828498173151,0,1,0,holiday+gift,1,0,0,holiday+home
2915031318,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+home,1,0,0,holiday+home
2937924029,213405395,YES,6,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
2975842495,213405395,YES,1,2,0.0175803234111,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
3148349701,213405395,YES,2,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
4471175473,213405395,YES,8,2,0.0175803234111,0.0,0,0,0,holiday+gift,1,0,0,holiday+home
6352222,86369703,YES,1,2,0.00902638762345,0.000987588226744,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
16529427,86369703,YES,1,2,0.00902638762345,0.00211028158208,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
18809624,86369703,YES,34,2,0.00902638762345,0.00120047405035,0,0,0,holiday+home,0,0,0,holiday+home
19455010,86369703,YES,2,2,0.00902638762345,0.00117079355658,0,0,0,holiday+home,0,0,0,holiday+home
19576316,86369703,YES,1,2,0.00902638762345,0.0,0,0,0,holiday+home,0,0,0,holiday+home
20486606,86369703,YES,2,2,0.00902638762345,0.000271966214534,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
32571309,86369703,YES,1,2,0.00902638762345,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
157448293,86369703,YES,1,2,0.00902638762345,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
172105978,86369703,YES,1,2,0.00902638762345,0.00143738588785,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
15682352,15655027,YES,2,2,0.00874556636859,0.0,0,0,0,holiday+home,0,0,0,holiday+home
16145224,15655027,YES,3,2,0.00874556636859,0.0,0,0,0,food+cook,0,0,0,holiday+home
18809624,15655027,YES,2,2,0.00874556636859,0.00120047405035,0,0,0,holiday+home,0,0,0,holiday+home
23071342,15655027,YES,2,2,0.00874556636859,0.000817248126435,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
50037505,15655027,YES,2,2,0.00874556636859,0.000247734166666,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
83057554,15655027,YES,1,2,0.00874556636859,0.000330295813452,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
310080433,15655027,YES,4,2,0.00874556636859,0.0,0,0,0,holiday+home,0,0,0,holiday+home
351218463,15655027,YES,1,2,0.00874556636859,0.0,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
2388901877,15655027,YES,15,2,0.00874556636859,0.003020781773,0,0,0,holiday+xmas+newyear,0,0,0,holiday+home
