True,t5
hack,13.0061118509
public,12.4653547563
offic,12.045185788
retweet,11.8716105427
home,0.585814051848
gt,0.540852716755
diy,0.429570251081
way,0.337435446377
dc,0.327288869794
design,0.306158073637
idea,0.27947656002
easi,0.278325523258
gear,0.262388249949
decor,0.256644875754
tip,0.222453433876
text,0.220747345277
color,0.218217260859
app,0.198142513943
secur,0.182088950682
tech,0.169223015564
pinterest,0.165619863782
startup,0.165372547053
tour,0.164925122774
space,0.153555915685
luxuri,0.149011199905
pick,0.142982502835
compani,0.141960733784
manag,0.13880195576
busi,0.137013206158
print,0.134765976785
content,0.131253265901
interior,0.129916572521
inspir,0.127503040075
stock,0.127068803946
fall,0.120045065979
happi,0.119879458149
news,0.119679269408
quot,0.119081279025
use,0.117376818097
kitchen,0.115230767391
control,0.114495559182
smart,0.112431213462
market,0.112252630145
technolog,0.107437403825
product,0.105710317372
paint,0.104144645486
wall,0.101652019426
room,0.101272467117
art,0.10098615513
project,0.10017420763
grow,0.0962686280784
organ,0.0960858660393
blog,0.0959323024602
summer,0.0951263241975
creat,0.0943336332036
card,0.0912572980412
make,0.0895112312955
work,0.0886636990723
digit,0.0879879683909
spring,0.0869497038348
mom,0.085186374284
invest,0.084613047022
door,0.082640057164
weekend,0.0771978863527
need,0.0752105050632
style,0.0744827512749
creativ,0.0739008246068
entrepreneur,0.0734197567566
usa,0.0730246697504
custom,0.0727677859501
tool,0.0723343294487
sale,0.070930026028
tabl,0.0705627200916
learn,0.069833433729
trend,0.0673825426353
servic,0.065345249332
meet,0.0644134687989
chanc,0.0641451256659
industri,0.062766896949
media,0.0624815928102
podcast,0.0623613648788
garden,0.0617772673937
career,0.0617614218874
blue,0.0597583928701
pink,0.0597534427872
holiday,0.0575459808364
sign,0.0574860568688
pot,0.0564878561934
googl,0.0560625359072
simpl,0.0551480351372
solut,0.0544172949969
modern,0.0541771217018
founder,0.0541598851533
help,0.0529764288119
insid,0.0526420547439
key,0.052541472487
data,0.0523606618095
beauti,0.0518896166969
internet,0.0511877838179
light,0.050517875647
report,0.0501020715925
step,0.0494112121257
strategi,0.0488859564507
build,0.0485859263062
ceo,0.0479483014565
websit,0.0472472147087
improv,0.0463983371183
team,0.046172179304
network,0.045102530421
beach,0.0435069608801
connect,0.0434823289004
uk,0.0434372190715
mobil,0.043380087046
case,0.0418823097039
jesus,0.0417553056669
check,0.0417433340052
email,0.0412107963077
board,0.0407786545777
socialmedia,0.040768243042
rule,0.04067918718
quick,0.0403332523662
fund,0.0397506827078
user,0.0395656800786
intern,0.0395495507179
whi,0.039272749333
tree,0.0390641488501
futur,0.0390285009367
answer,0.0387730817044
success,0.0385879763467
rt,0.0385312760754
juli,0.0384577417546
essenti,0.0383273593779
craft,0.038167419247
question,0.0378119425949
orang,0.0369644353529
hire,0.0369240305235
valu,0.0364484834315
develop,0.0362802487659
hous,0.0361703788338
expert,0.0355716251764
increas,0.0355359995105
featur,0.0353984959723
appl,0.0353171707969
week,0.0340422827596
thank,0.0336944533175
bed,0.0335246098681
collect,0.0328482349468
iphon,0.0328119076301
cost,0.0324282792742
thought,0.0317947919892
sell,0.031701765104
instagram,0.031592164643
love,0.0313069317159
includ,0.0310471644769
brand,0.0309767850215
latest,0.0302898502343
risk,0.0302259985696
global,0.0302050163216
lead,0.0301077461001
millenni,0.0298946118348
type,0.0294853393099
innov,0.0280463232015
announc,0.0279924138549
thing,0.0279087025371
white,0.0278588862316
nyc,0.0276667445348
choos,0.0270396270185
add,0.0269444024341
throw,0.0269259332936
cut,0.0266280908613
trick,0.0264513903383
god,0.0264429398284
stori,0.0263191910835
flower,0.025805732206
lt,0.0254480272739
download,0.0254347053783
near,0.0254182008961
cover,0.0252061169581
daili,0.024889313958
bless,0.0246914033786
touch,0.0246740162229
search,0.0241556103186
rock,0.0240931400832
plant,0.0240426245968
articl,0.0237711689966
client,0.0237005429102
author,0.0233421749758
window,0.0227986142769
mistak,0.0223854863521
consid,0.0223830740773
campaign,0.022029707385
women,0.0219425995273
avail,0.0215860423109
sponsor,0.0215471876451
excit,0.0210498005566
french,0.0210398470411
leader,0.0209265738518
apart,0.0208783892594
fresh,0.0208063032447
messag,0.020769916353
money,0.0205757580225
matter,0.0205746780573
communiti,0.0205278831515
high,0.0200766416646
pain,0.0199596819869
air,0.0198813638021
set,0.0198248810327
fun,0.0197789484548
chicago,0.0196860005235
london,0.019683288982
polic,0.0189191376986
student,0.018526439809
account,0.018355577957
wood,0.0183396897418
speak,0.0182363151303
convers,0.0181756328429
real,0.0180971540637
stand,0.0180313996433
mother,0.0179177331275
biggest,0.0177476465035
code,0.0176770135497
challeng,0.0176311465731
attack,0.0174942353126
vote,0.0173713271886
onlin,0.017174515584
member,0.0170127114968
promot,0.0168967856661
school,0.0165810708018
updat,0.0164913032323
provid,0.016390189297
avoid,0.0162466270486
turn,0.0161506057174
colleg,0.0160839173635
tv,0.0160452244434
sit,0.0160082556816
focus,0.0158224614409
opportun,0.0155953590643
dine,0.0155137484965
water,0.015325393952
leadership,0.0152559455558
awesom,0.0149958128573
dr,0.0149386554231
ride,0.0148250674668
wish,0.014776275611
trump,0.0146636591182
reason,0.0145228442862
comfort,0.0145184543829
return,0.0143482830572
paper,0.0142176582197
cat,0.0139533190186
million,0.0138022925431
mention,0.0136818822441
job,0.0135181625352
nation,0.0133522859634
save,0.0132535956932
memori,0.0130233665929
effect,0.0129347209156
shoe,0.0128178343369
dream,0.0127803363649
prepar,0.0127473946977
practic,0.0127167080635
self,0.0125432378216
site,0.0125314279618
issu,0.0122745353748
cultur,0.0121982877934
wrap,0.0121644892054
book,0.0119594541106
winner,0.0119474187297
state,0.0117699385065
amazon,0.0117117363995
click,0.0116694291948
contact,0.0115930652718
possibl,0.011546413864
appreci,0.0115113096922
island,0.0113388947232
hang,0.011311883498
pop,0.0110978907312
world,0.0109183903174
small,0.0108591853811
popular,0.0106245542962
stress,0.0106018599102
land,0.0105690869085
univers,0.0104830362767
power,0.0103757934519
guid,0.0103697926308
engag,0.0102751748953
race,0.010236314909
mini,0.0100877035536
let,0.00989730897424
link,0.0098441819301
buy,0.00976912809215
drive,0.00950950239398
inform,0.00950647443767
person,0.00946297381273
area,0.0094366002229
problem,0.00935497561862
obama,0.00932416974703
sea,0.00930494036581
pay,0.00918088645237
advic,0.00914976830062
monday,0.00906742539201
fail,0.00902944538998
clean,0.00900056538134
http,0.00875624487764
protect,0.00853824352805
interview,0.00851582681691
view,0.00835467693752
secret,0.0083231392067
decid,0.00828308581748
group,0.00827026018566
believ,0.00826805991054
arriv,0.00807081424023
import,0.00779213125002
soon,0.00759703117824
motiv,0.00732646104905
understand,0.00711669349297
flight,0.0069866088603
black,0.00692567577993
american,0.00656590482749
doubl,0.00654866300848
gun,0.00626485372679
rate,0.00625565006977
research,0.00616675867691
kill,0.00605299535313
becom,0.00592348247159
mind,0.00585854266949
clear,0.00575933586469
web,0.00574971885412
cc,0.00574637913515
ny,0.00572648979021
came,0.00565836272786
low,0.00558706557681
pari,0.00535462624377
gold,0.00519352806249
qualiti,0.00500314978166
vintag,0.00499137493901
bank,0.00488634224225
box,0.00478346494493
fix,0.00453091080625
write,0.00451253058603
green,0.00434646463617
san,0.00424533162266
loss,0.00416657404816
guest,0.00394616931816
share,0.00366080234818
continu,0.00365050187414
page,0.00364506781961
