target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
7346672,873828446,YES,1,2,1.0,0.0304295218572,0,1,1,holiday+home,1,1,1,food
14524152,873828446,YES,4,2,1.0,0.0,0,0,0,holiday+home,1,1,1,food
17931869,873828446,YES,9,2,1.0,0.00538785521017,0,0,0,holiday+xmas+newyear,1,1,1,food
18382169,873828446,YES,1,2,1.0,0.130735387249,0,1,1,food+cook,1,1,1,food
22981009,873828446,YES,2,2,1.0,0.0813654721155,0,1,1,holiday+home,1,1,1,food
23241541,873828446,YES,3,2,1.0,0.430856688908,0,1,1,holiday+home,1,1,1,food
27310156,873828446,YES,1,2,1.0,0.151604235429,0,1,1,food+cook,1,1,1,food
29308871,873828446,YES,16,2,1.0,0.108889284555,0,1,1,holiday+xmas+newyear,1,1,1,food
39151479,873828446,YES,2,2,1.0,0.0,0,0,0,holiday+xmas+newyear,1,1,1,food
50793555,873828446,YES,2,2,1.0,0.0,0,0,0,holiday+home,1,1,1,food
55036519,873828446,YES,2,2,1.0,0.0490722014981,0,1,1,holiday+home,1,1,1,food
72988446,873828446,YES,3,2,1.0,0.0521485512412,0,1,1,holiday+xmas+newyear,1,1,1,food
80615458,873828446,YES,7,2,1.0,0.175705447334,0,1,1,food+cook,1,1,1,food
96697085,873828446,YES,1,2,1.0,0.44482404017,1,1,1,food+cook,1,1,1,food
102834913,873828446,YES,2,2,1.0,0.0144865689726,0,0,0,holiday+xmas+newyear,1,1,1,food
106017829,873828446,YES,1,2,1.0,0.028510871105,0,0,0,holiday+home,1,1,1,food
123420944,873828446,YES,2,2,1.0,0.0291327282991,0,0,0,holiday+xmas+newyear,1,1,1,food
162978962,873828446,YES,2,2,1.0,0.0193679240882,0,0,0,holiday+home,1,1,1,food
213120749,873828446,YES,4,2,1.0,0.140665934168,0,1,1,holiday+xmas+newyear,1,1,1,food
247825024,873828446,YES,2,2,1.0,0.0219959591257,0,0,0,food,1,1,1,food
265803490,873828446,YES,3,2,1.0,0.0338429134349,0,1,1,holiday+xmas+newyear,1,1,1,food
282648359,873828446,YES,2,2,1.0,0.0378124132378,0,1,1,holiday+xmas+newyear,1,1,1,food
341664138,873828446,YES,1,2,1.0,0.0420409898282,0,1,1,holiday+xmas+newyear,1,1,1,food
366077287,873828446,YES,4,2,1.0,0.00940309110708,0,0,0,holiday+xmas+newyear,1,1,1,food
368522765,873828446,YES,2,2,1.0,0.00456369325194,0,0,0,food,1,1,1,food
379843451,873828446,YES,2,2,1.0,0.0,0,0,0,holiday+xmas+newyear,1,1,1,food
380458341,873828446,YES,4,2,1.0,0.060721490072,0,1,1,holiday+home,1,1,1,food
418999990,873828446,YES,2,2,1.0,0.165223034711,0,1,1,food+cook,1,1,1,food
453817821,873828446,YES,2,2,1.0,0.0455432845616,0,1,1,holiday+xmas+newyear,1,1,1,food
456270219,873828446,YES,49,2,1.0,0.0450170644574,0,1,1,holiday+xmas+newyear,1,1,1,food
457500054,873828446,YES,2,2,1.0,0.00475227528934,0,0,0,holiday+xmas+newyear,1,1,1,food
458893494,873828446,YES,6,2,1.0,0.125255161468,0,1,1,holiday+xmas+newyear,1,1,1,food
467982683,873828446,YES,4,2,1.0,0.0697240000515,0,1,1,holiday+xmas+newyear,1,1,1,food
540131826,873828446,YES,16,2,1.0,0.113171202815,0,1,1,food+cook,1,1,1,food
733181233,873828446,YES,4,2,1.0,0.00542848398409,0,0,0,holiday+xmas+newyear,1,1,1,food
892341529,873828446,YES,2,2,1.0,0.0765445654313,0,1,1,food+cook,1,1,1,food
1167241568,873828446,YES,5,2,1.0,0.0748395735257,0,1,1,holiday+xmas+newyear,1,1,1,food
1257120356,873828446,YES,2,2,1.0,0.0186632799087,0,0,0,holiday+xmas+newyear,1,1,1,food
1262774348,873828446,YES,2,2,1.0,0.133560890622,0,1,1,holiday+xmas+newyear,1,1,1,food
1293588350,873828446,YES,3,2,1.0,0.0101133715829,0,0,0,holiday+xmas+newyear,1,1,1,food
1389692707,873828446,YES,4,2,1.0,0.158415021145,0,1,1,food+cook,1,1,1,food
1397730660,873828446,YES,6,2,1.0,0.0248401162632,0,0,0,holiday+home,1,1,1,food
1693564004,873828446,YES,11,2,1.0,0.18695707134,0,1,1,food+cook,1,1,1,food
2170225472,873828446,YES,2,2,1.0,0.0,0,0,0,holiday+home,1,1,1,food
2335762302,873828446,YES,2,2,1.0,0.0516265026697,0,1,1,holiday+xmas+newyear,1,1,1,food
2345820662,873828446,YES,1,2,1.0,0.101795488179,0,1,1,holiday+xmas+newyear,1,1,1,food
2404461239,873828446,YES,1,2,1.0,0.0408488203848,0,1,1,holiday+xmas+newyear,1,1,1,food
2426129545,873828446,YES,9,2,1.0,0.0,0,0,0,food,1,1,1,food
2450085252,873828446,YES,1,2,1.0,0.0605096454189,0,1,1,food+cook,1,1,1,food
2472921109,873828446,YES,4,2,1.0,0.0595233075268,0,1,1,food+cook,1,1,1,food
