True,t7
recip,17.1917330064
chocol,5.63240171472
food,4.76557351095
cooki,4.44238717522
chicken,4.21691811575
make,4.10044659458
easi,3.99969787098
holiday,3.6657908588
amp,3.54221360506
bake,3.40177936276
healthi,3.37233209612
check,3.25242330953
cake,3.18884799095
salad,3.0831979323
rt,3.0366357417
pumpkin,3.01321348494
delici,2.99863849097
perfect,2.96432883422
chees,2.82262105179
pie,2.80235909088
roast,2.71852931634
thanksgiv,2.64771103547
gt,2.61987912173
breakfast,2.61062833248
vegan,2.57602292426
sweet,2.56573838706
butter,2.53053217758
dessert,2.49877772211
potato,2.46968718982
dinner,2.4564814174
cream,2.3668005137
appl,2.34891093511
ad,2.28389825815
cook,2.17117434877
christma,2.16804428488
new,2.13207542024
best,2.08578987219
sauc,2.00618777404
soup,1.98483374507
favorit,1.9071762233
eat,1.82936968258
caramel,1.80550169334
parti,1.77735481419
grill,1.77632902566
salt,1.68506906914
stuf,1.62654833189
bar,1.62174580569
tri,1.61976127223
cocktail,1.61805957218
foodi,1.61471941369
bread,1.6101769815
fri,1.56191638842
cranberri,1.55631280599
summer,1.54949041392
homemad,1.53567921287
tomato,1.52827874706
dish,1.48575371518
smoothi,1.45432893945
meal,1.44744117864
sugar,1.43884194926
glutenfre,1.41494033253
squash,1.37921083557
egg,1.36930770654
waffl,1.36679714461
coconut,1.36663065466
share,1.35151076373
ice,1.35103704419
way,1.34776617513
pizza,1.33212551831
spice,1.33118185709
snack,1.33053840557
toast,1.32309101039
idea,1.29358769082
ingredi,1.28790934029
dip,1.28298437239
gift,1.25942170517
fall,1.25561545775
bacon,1.25303141707
flavor,1.23358918446
yum,1.23145599047
pasta,1.23108550976
cinnamon,1.22719558484
kitchen,1.22560465498
great,1.2221062344
chip,1.21981890927
happi,1.18607088214
weekend,1.17564671793
lemon,1.1510880371
chef,1.14880217703
green,1.14320028614
spici,1.14290976843
pork,1.14017856528
peanut,1.12593270851
cookbook,1.10528225911
today,1.10371261314
foodporn,1.10086758296
turkey,1.09712952363
tip,1.09711461098
drink,1.09333555259
fresh,1.0910812043
banana,1.0872187562
look,1.08427299494
hot,1.08241352841
bowl,1.0789683472
bean,1.07775584451
honey,1.07610073427
yummi,1.06642918397
season,1.05581824477
veggi,1.05196871933
beef,1.03978571136
treat,1.03305080111
fruit,0.989374916026
rice,0.98350931035
diy,0.975906035621
roll,0.970570740039
simpl,0.962772182308
hungri,0.960610273781
sandwich,0.954894758468
avocado,0.95193649115
cupcak,0.950663436279
coffe,0.923265949408
candi,0.907067558629
minut,0.889212998868
brunch,0.873356507281
french,0.872982296607
slow,0.851779837704
taco,0.833659917321
gluten,0.83184191338
beer,0.831499974619
milk,0.825533674226
bite,0.801877712961
pot,0.800589447982
burger,0.789418600476
love,0.788130443925
halloween,0.764142079204
bbq,0.762336532518
quick,0.759340219261
diet,0.744539559056
celebr,0.74030330922
menu,0.731403693195
mini,0.725181195119
orang,0.72468971611
red,0.719289426163
dress,0.718754387904
brown,0.717447292875
lunch,0.706280924692
tast,0.696555281381
need,0.695131799374
white,0.694932892906
italian,0.683129729424
day,0.680406723015
winter,0.680218605582
wine,0.660272943123
fun,0.655518396939
link,0.650565306242
tabl,0.627589428514
tasti,0.625311695835
friday,0.60808159897
warm,0.606223934644
cup,0.604574580694
classic,0.603695083649
free,0.601746008946
http,0.576137024719
style,0.566092534851
use,0.564997914705
mix,0.560356139112
super,0.554684176924
guid,0.548471767526
monday,0.545381845468
festiv,0.53843807257
serv,0.537403264497
black,0.537036022103
https,0.527185792836
donut,0.49644382591
tea,0.491720488075
gorgeous,0.489184503727
kid,0.485370739232
good,0.483944979314
spring,0.481264350861
amaz,0.461165102002
restaur,0.460985914447
enjoy,0.457966048498
inspir,0.457480524547
juic,0.451026338921
sound,0.448166851263
start,0.436222788094
ultim,0.435904660379
famili,0.430792408815
organ,0.426078881674
decor,0.409187880184
click,0.406314244276
sunday,0.401332706816
oil,0.400231167194
craft,0.393587290507
health,0.386473722151
post,0.384461307897
add,0.37806686028
tradit,0.376963216257
readi,0.376584340794
morn,0.364235860696
clean,0.363612067356
fish,0.362704669712
wrap,0.361962978803
lover,0.356846716037
comfort,0.354043893197
secret,0.345722619689
plan,0.341953991567
littl,0.338416999592
htt,0.337506808406
cold,0.337493458154
list,0.336198413845
color,0.335694403251
pop,0.334131914819
featur,0.330593297738
includ,0.330257473998
dc,0.327652442324
dark,0.326304555625
pretti,0.326290957954
weight,0.325499964629
tonight,0.305320328047
host,0.302294499351
plus,0.30191484225
ht,0.301019046022
awesom,0.292897501042
ball,0.291427737485
miss,0.29053379505
week,0.290281869897
special,0.289571522652
blog,0.287146144859
better,0.28712234612
text,0.285457156263
guest,0.284167443488
doubl,0.280212239594
garden,0.277525214771
skin,0.263581996459
round,0.259301225725
cute,0.255691588661
saturday,0.254545330396
think,0.248761874453
pack,0.244076403048
app,0.243630830534
pair,0.243473526416
smoke,0.239435911912
time,0.239263306533
blue,0.23622249501
site,0.235676115368
fat,0.234665905436
natur,0.227304055626
flower,0.226608653107
case,0.225548978795
fit,0.224627122221
nation,0.224285206197
bring,0.220846693196
late,0.218847772593
wild,0.214764396775
cover,0.208981300288
know,0.205856851131
ahead,0.20165902798
save,0.19431171237
throw,0.194192200363
fast,0.193855159609
blogger,0.192406821943
workout,0.191963392544
home,0.191789463158
everyth,0.188718021785
everyon,0.185564889956
juli,0.182929849337
kick,0.18245511241
benefit,0.182299866827
yes,0.177022749536
tuesday,0.174578072758
low,0.174284516929
tree,0.172581672667
water,0.171120816594
grab,0.168685922894
farm,0.164813584532
dine,0.161259318963
prepar,0.156478196255
bottl,0.156424597246
store,0.154488125833
produc,0.15361231431
creat,0.153017364328
sea,0.150368581758
spread,0.149961235299
