target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
7121092,483195215,YES,4,2,1.0,0.0783356853395,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
14066068,483195215,YES,1,2,1.0,0.069582537695,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
14421382,483195215,YES,8,2,1.0,0.285362059278,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
15379585,483195215,YES,1,2,1.0,0.417199970665,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
15627012,483195215,YES,1,2,1.0,0.0544015093741,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
15682352,483195215,YES,2,2,1.0,0.0790027373223,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
17976763,483195215,YES,3,2,1.0,0.428235927205,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
18128757,483195215,YES,7,2,1.0,0.21755429215,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
18337124,483195215,YES,4,2,1.0,0.0680024172399,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
18643923,483195215,YES,1,2,1.0,0.0776857418451,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
19270497,483195215,YES,2,2,1.0,0.127377237217,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
19333624,483195215,YES,2,2,1.0,0.145485167418,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
21632957,483195215,YES,2,2,1.0,0.0370806916006,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
22153143,483195215,YES,2,2,1.0,0.12378752173,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
22209787,483195215,YES,2,2,1.0,0.0442340084401,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
22425289,483195215,YES,11,2,1.0,0.498796673226,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
22982905,483195215,YES,4,2,1.0,0.491217838579,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
23387006,483195215,YES,6,2,1.0,0.358475045515,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
24498638,483195215,YES,2,2,1.0,0.135481853981,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
24990869,483195215,YES,28,2,1.0,0.15674215671,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
25236969,483195215,YES,1,2,1.0,0.0501452483429,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
26265644,483195215,YES,7,2,1.0,0.129923699884,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
26561883,483195215,YES,1,2,1.0,0.0628178367974,0,0,0,food,1,0,0,holiday+xmas+newyear
27936865,483195215,YES,20,2,1.0,0.0793242511924,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
28470495,483195215,YES,1,2,1.0,0.269716930455,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
28820902,483195215,YES,2,2,1.0,0.107943849362,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
29444665,483195215,YES,2,2,1.0,0.2398893132,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
30213351,483195215,YES,12,2,1.0,0.545610312845,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
32578736,483195215,YES,4,2,1.0,0.116112091051,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
35065617,483195215,YES,2,2,1.0,0.0866748486278,0,0,0,holiday+home,1,0,0,holiday+xmas+newyear
35075210,483195215,YES,8,2,1.0,0.244943144297,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
