True,t4
rt,27.0521790156
christma,1.89327621061
https,1.7728532868
amp,1.45486276954
peopl,1.26747067008
day,1.17653387109
don,1.17083605049
like,1.16939600964
just,1.14316627029
year,1.13134241557
love,1.12085535782
http,1.0825215052
time,1.02227306526
say,0.940547832058
good,0.891134839952
want,0.852683874163
life,0.741804202304
watch,0.723791887725
come,0.721989930265
best,0.704640104113
need,0.683260086657
happi,0.649604524496
onli,0.621110997459
htt,0.617533820001
new,0.615770558378
make,0.608668079055
world,0.608404079104
whi,0.599894611865
look,0.597385020829
live,0.591267267372
wine,0.590064806988
tonight,0.589650408326
thing,0.587980198702
right,0.579105031109
know,0.576850850129
work,0.566574094159
merri,0.556778607562
today,0.555047061403
realli,0.542535017118
help,0.523856775265
trump,0.520139618119
gt,0.516351588476
night,0.509535712802
ht,0.507422233768
man,0.506861001508
video,0.504884682476
check,0.494766178974
friend,0.494735945277
feel,0.48584942829
great,0.484881232656
talk,0.477755330012
pleas,0.477290877245
god,0.473420249451
fuck,0.468265545014
week,0.466186956597
women,0.461802336183
th,0.459613246613
read,0.456689154603
stori,0.455335432672
someon,0.454510715491
support,0.454390328544
food,0.447895401889
becaus,0.444689269193
did,0.441955729354
tweet,0.437104786481
santa,0.432486640992
star,0.429498674032
better,0.428018595514
join,0.424111101305
got,0.423805515506
veri,0.421942605396
old,0.421265495204
game,0.416949109124
tell,0.416729786773
open,0.414167563947
stop,0.414026335711
alway,0.404412669612
pm,0.401698177199
famili,0.394864043471
use,0.393046460012
thank,0.390415747072
war,0.389658128134
miss,0.388480969112
kill,0.386979608907
kid,0.385027533952
ve,0.379037956143
everyon,0.376792652666
everi,0.373956588575
nice,0.369597736239
hope,0.368129574813
ll,0.362402062303
lol,0.361916411775
let,0.360351650325
season,0.36008071674
win,0.359160634721
tri,0.358658727802
start,0.356965181868
run,0.35649030783
amaz,0.355261745102
twitter,0.355152955894
big,0.354988906715
futur,0.352806976543
chang,0.352612549479
music,0.348827470199
die,0.345718958246
person,0.342181830996
diet,0.339086285041
guy,0.338436743526
wait,0.337824446588
learn,0.335331525771
wish,0.332428864465
mani,0.328544780011
ask,0.328437933292
heart,0.328365085368
movi,0.328144739747
beauti,0.32745576072
vote,0.321293002666
listen,0.320725457111
word,0.320224550912
awesom,0.319842754413
st,0.319680482221
car,0.319320167813
bad,0.317444701221
fight,0.314970540257
news,0.314250686115
said,0.313381380215
care,0.31336610861
play,0.312780372274
state,0.311391582623
hous,0.309882738154
real,0.305423213044
someth,0.303107474376
doe,0.301942774432
happen,0.300230354194
american,0.300075598291
way,0.298851695265
fan,0.296334435465
obama,0.29375223616
mean,0.290494441969
end,0.290308674943
befor,0.289576709121
rememb,0.28949235957
girl,0.288507671099
light,0.286980836655
final,0.286193343399
dog,0.281929248552
true,0.281340386901
lt,0.278418060656
high,0.278001036635
report,0.277736747919
ad,0.276343675059
hate,0.27509076218
holiday,0.272367000794
team,0.270986412288
tomorrow,0.268649664884
enjoy,0.267378749981
lot,0.267342704473
wonder,0.265972479395
morn,0.264973961307
think,0.264645976878
yes,0.263294579019
noth,0.262040695784
mind,0.260935189133
million,0.2603489435
sign,0.259683422384
face,0.25939326527
school,0.258733650496
