target,source,status,count,phase,source_weekend_home,target_weekend_home
14292954,15452859,YES,4,2,0.0142342273914,0.00127455548979
15642916,15452859,YES,2,2,0.0142342273914,0.0142218082039
68296245,15452859,YES,11,2,0.0142342273914,0.00688803147512
204162470,15452859,YES,1,2,0.0142342273914,0.03147592462
213405395,15452859,YES,1,2,0.0142342273914,0.00181344001104
319809082,15452859,YES,2,2,0.0142342273914,0.0
361177282,15452859,YES,1,2,0.0142342273914,0.0
613382039,15452859,YES,4,2,0.0142342273914,0.0
704355078,15452859,YES,2,2,0.0142342273914,0.0112211477263
1374601428,15452859,YES,1,2,0.0142342273914,0.0
4027167933,15452859,YES,1,2,0.0142342273914,0.00605051143892
6352222,86369703,YES,1,2,0.0132874552636,0.00972945923575
16529427,86369703,YES,1,2,0.0132874552636,0.0395138465171
18809624,86369703,YES,34,2,0.0132874552636,0.00438247778692
19455010,86369703,YES,2,2,0.0132874552636,0.00280279027401
19576316,86369703,YES,1,2,0.0132874552636,0.00516801110775
20486606,86369703,YES,2,2,0.0132874552636,0.00252225668863
32571309,86369703,YES,1,2,0.0132874552636,0.00265220423445
157448293,86369703,YES,1,2,0.0132874552636,0.00074454009639
172105978,86369703,YES,1,2,0.0132874552636,0.0124907827855
20020031,39940842,YES,3,2,0.00750819610407,0.00680875946281
25605799,39940842,YES,4,2,0.00750819610407,0.00265700819508
50940501,39940842,YES,1,2,0.00750819610407,0.000724755596797
56815161,39940842,YES,3,2,0.00750819610407,0.00526923464484
71674961,39940842,YES,3,2,0.00750819610407,0.00798592844408
80365316,39940842,YES,2,2,0.00750819610407,0.0
95202996,39940842,YES,4,2,0.00750819610407,0.0
237540915,39940842,YES,1,2,0.00750819610407,0.00200108507639
278703055,39940842,YES,24,2,0.00750819610407,0.0
315098670,39940842,YES,14,2,0.00750819610407,0.0
322059467,39940842,YES,2,2,0.00750819610407,0.00648160583551
343461487,39940842,YES,4,2,0.00750819610407,0.0
421611622,39940842,YES,1,2,0.00750819610407,0.00510458418321
