target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
6352222,86369703,YES,1,2,0.0499024253356,0.00680714528546,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
16529427,86369703,YES,1,2,0.0499024253356,0.039164705377,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
18809624,86369703,YES,34,2,0.0499024253356,0.00799839874737,0,1,0,holiday+home,1,0,0,holiday+home
19455010,86369703,YES,2,2,0.0499024253356,0.00213931696241,0,1,0,holiday+home,1,0,0,holiday+home
19576316,86369703,YES,1,2,0.0499024253356,0.00471795544128,0,1,0,holiday+home,1,0,0,holiday+home
20486606,86369703,YES,2,2,0.0499024253356,0.00122428004974,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
32571309,86369703,YES,1,2,0.0499024253356,0.00119313524881,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
157448293,86369703,YES,1,2,0.0499024253356,0.00058675449949,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
172105978,86369703,YES,1,2,0.0499024253356,0.00688136824136,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
14292954,15452859,YES,4,2,0.0450040301852,0.000570770922119,0,1,0,holiday+gift,1,0,0,holiday+xmas+newyear
15642916,15452859,YES,2,2,0.0450040301852,0.0137437683351,0,1,0,holiday+home,1,0,0,holiday+xmas+newyear
68296245,15452859,YES,11,2,0.0450040301852,0.0036570764031,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
204162470,15452859,YES,1,2,0.0450040301852,0.0217614248809,0,1,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
213405395,15452859,YES,1,2,0.0450040301852,0.0114766795446,0,1,0,holiday+home,1,0,0,holiday+xmas+newyear
319809082,15452859,YES,2,2,0.0450040301852,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
361177282,15452859,YES,1,2,0.0450040301852,0.0,0,0,0,holiday+gift,1,0,0,holiday+xmas+newyear
613382039,15452859,YES,4,2,0.0450040301852,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
704355078,15452859,YES,2,2,0.0450040301852,0.00292148413615,0,1,0,holiday+home,1,0,0,holiday+xmas+newyear
1374601428,15452859,YES,1,2,0.0450040301852,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+xmas+newyear
4027167933,15452859,YES,1,2,0.0450040301852,0.00414239866597,0,1,0,holiday+gift,1,0,0,holiday+xmas+newyear
20020031,39940842,YES,3,2,0.0377128799387,0.00200641231211,0,1,0,holiday+home,1,0,0,holiday+home
25605799,39940842,YES,4,2,0.0377128799387,0.00147364711273,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
50940501,39940842,YES,1,2,0.0377128799387,0.000285290080406,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
56815161,39940842,YES,3,2,0.0377128799387,0.00244930710974,0,1,0,holiday+home,1,0,0,holiday+home
71674961,39940842,YES,3,2,0.0377128799387,0.00428341183745,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
80365316,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,food,1,0,0,holiday+home
95202996,39940842,YES,4,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
237540915,39940842,YES,1,2,0.0377128799387,0.00091189202278,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
278703055,39940842,YES,24,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
315098670,39940842,YES,14,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
322059467,39940842,YES,2,2,0.0377128799387,0.00275932612906,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
343461487,39940842,YES,4,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
421611622,39940842,YES,1,2,0.0377128799387,0.00201247090086,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
424594348,39940842,YES,4,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
577256073,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,food,1,0,0,holiday+home
596504164,39940842,YES,2,2,0.0377128799387,0.00152478126292,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
614322634,39940842,YES,2,2,0.0377128799387,0.0305622573451,0,1,0,holiday+home,1,0,0,holiday+home
873932130,39940842,YES,2,2,0.0377128799387,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
885327019,39940842,YES,1,2,0.0377128799387,0.00668484999917,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
