True,t10
social,11.2470621087
ad,6.3699243364
player,5.84970236371
handl,5.66802299864
play,4.75961681128
twitter,4.15456015273
chef,3.37408320463
market,2.39360800625
media,1.23478622352
gt,1.23430924795
content,1.13498684663
busi,1.09344202744
socialmedia,0.958171979126
brand,0.749325385085
facebook,0.682843789116
post,0.623212415543
video,0.603928037665
tip,0.532184321397
advertis,0.528482807805
use,0.520762045353
tech,0.503561325603
new,0.488525185016
digit,0.476942859187
site,0.45156797824
youtub,0.421815450694
googl,0.407549335648
blog,0.383555238016
help,0.366786231863
strategi,0.36466257857
compani,0.358112039035
whi,0.354841193693
success,0.354100527767
entrepreneur,0.348320820336
tool,0.346794430429
startup,0.344180076885
free,0.334296084441
custom,0.319619631238
websit,0.31188276644
invest,0.310838761548
learn,0.297898384338
mobil,0.295119515188
web,0.284208678279
manag,0.270244295068
great,0.269304119956
hire,0.268380040916
build,0.262852135978
creat,0.262122393119
app,0.261817225578
job,0.260840275481
instagram,0.258234053872
quot,0.256440974293
network,0.253327821853
search,0.248881095796
millenni,0.242362276688
lead,0.237200399455
data,0.234152692222
need,0.231699301093
sale,0.22578865012
email,0.224678611323
servic,0.224566889979
trend,0.219307771658
develop,0.217757339118
join,0.216108600351
increas,0.215270552884
publish,0.213326476043
engag,0.203704070022
campaign,0.198620598217
holiday,0.193302471777
way,0.19242598995
product,0.191815399955
industri,0.188126664204
onlin,0.184983431881
cheer,0.183002230767
game,0.182555527941
money,0.181388734323
let,0.180981557404
write,0.177710785801
https,0.172831968991
local,0.171659678371
blogger,0.170985168607
page,0.169792825134
communiti,0.168441597438
account,0.164582600962
sponsor,0.163662141592
news,0.162131900499
team,0.160725790982
week,0.159613303895
user,0.157994654675
power,0.153946124719
grow,0.152878999705
innov,0.148073110197
work,0.14784616387
save,0.147426870052
uk,0.1470235415
step,0.14414238445
technolog,0.143588501994
chang,0.143430235772
creativ,0.143041768366
effect,0.142558405968
convers,0.142549122876
share,0.142521074214
career,0.140885623283
improv,0.13939003701
ceo,0.137844017293
client,0.137065963819
retail,0.131809205761
stori,0.129641356827
import,0.128735005709
leader,0.128158029312
report,0.12811706025
world,0.127770713071
provid,0.12719323996
rais,0.126879359014
question,0.126872092953
mistak,0.12680220565
leadership,0.12530909575
