target,source,status,count,phase,source_travel,target_travel
6352222,86369703,YES,1,2,0.019547537041,0.00034756863344
16529427,86369703,YES,1,2,0.019547537041,0.00126564630731
18809624,86369703,YES,34,2,0.019547537041,0.00448427998498
19455010,86369703,YES,2,2,0.019547537041,0.00414514540365
19576316,86369703,YES,1,2,0.019547537041,0.00429507744149
20486606,86369703,YES,2,2,0.019547537041,0.000983289334046
32571309,86369703,YES,1,2,0.019547537041,0.0014914180323
157448293,86369703,YES,1,2,0.019547537041,0.0
172105978,86369703,YES,1,2,0.019547537041,0.0095657438179
15664368,21586778,YES,2,2,0.0185467020042,0.0
25228712,21586778,YES,2,2,0.0185467020042,0.0
32672170,21586778,YES,8,2,0.0185467020042,0.0
35953296,21586778,YES,6,2,0.0185467020042,0.00170644524917
38475879,21586778,YES,8,2,0.0185467020042,0.0
85998031,21586778,YES,2,2,0.0185467020042,0.000728599603685
104205235,21586778,YES,1,2,0.0185467020042,0.0
110254814,21586778,YES,1,2,0.0185467020042,0.0
126989814,21586778,YES,27,2,0.0185467020042,0.0130085232724
247134354,21586778,YES,8,2,0.0185467020042,0.000791134034198
297133791,21586778,YES,6,2,0.0185467020042,0.0
453452012,21586778,YES,1,2,0.0185467020042,0.00659446431193
626210752,21586778,YES,34,2,0.0185467020042,0.0
3135722355,21586778,YES,4,2,0.0185467020042,0.0
3486496099,21586778,YES,2,2,0.0185467020042,0.0
701233,7121092,YES,2,2,0.00766446045794,0.0
1354631,7121092,YES,1,2,0.00766446045794,0.0
7483262,7121092,YES,1,2,0.00766446045794,0.0001539540003
11922222,7121092,YES,1,2,0.00766446045794,0.000979839847976
14227896,7121092,YES,2,2,0.00766446045794,0.00416700852381
15773072,7121092,YES,1,2,0.00766446045794,0.00579527714716
16001022,7121092,YES,2,2,0.00766446045794,0.0
19259058,7121092,YES,1,2,0.00766446045794,0.00887237578854
19270838,7121092,YES,2,2,0.00766446045794,0.00189328365
21238828,7121092,YES,1,2,0.00766446045794,0.0
24990869,7121092,YES,6,2,0.00766446045794,0.0
29547150,7121092,YES,3,2,0.00766446045794,0.0
29646382,7121092,YES,10,2,0.00766446045794,0.00423395469976
