target,source,status,count,phase,source_score,target_score,tp1,tp2,tp3,favTopic_target,sp1,sp2,sp3,favTopic_source
6352222,86369703,YES,1,2,0.168023705747,0.000556564586533,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
16529427,86369703,YES,1,2,0.168023705747,0.00287115466183,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
18809624,86369703,YES,34,2,0.168023705747,0.0187315935051,0,1,0,holiday+home,1,0,0,holiday+home
19455010,86369703,YES,2,2,0.168023705747,0.00724140734375,0,1,0,holiday+home,1,0,0,holiday+home
19576316,86369703,YES,1,2,0.168023705747,0.00897428941228,0,1,0,holiday+home,1,0,0,holiday+home
20486606,86369703,YES,2,2,0.168023705747,0.00109237435088,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
32571309,86369703,YES,1,2,0.168023705747,0.00153560945592,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
157448293,86369703,YES,1,2,0.168023705747,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
172105978,86369703,YES,1,2,0.168023705747,0.0120615345269,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
701233,7121092,YES,2,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
1354631,7121092,YES,1,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
7483262,7121092,YES,1,2,0.110209762071,2.78487386481e-05,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
11922222,7121092,YES,1,2,0.110209762071,0.00100695556998,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
14227896,7121092,YES,2,2,0.110209762071,0.00465002343043,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
15773072,7121092,YES,1,2,0.110209762071,0.00595739856414,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
16001022,7121092,YES,2,2,0.110209762071,0.0,0,0,0,holiday+home,1,0,0,holiday+home
19259058,7121092,YES,1,2,0.110209762071,0.00816406970413,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
19270838,7121092,YES,2,2,0.110209762071,0.0016889305154,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
21238828,7121092,YES,1,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
24990869,7121092,YES,6,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
29547150,7121092,YES,3,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
29646382,7121092,YES,10,2,0.110209762071,0.00872552986895,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
31736700,7121092,YES,11,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
35014644,7121092,YES,1,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
36592529,7121092,YES,4,2,0.110209762071,0.00340077492262,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
39393024,7121092,YES,2,2,0.110209762071,0.0,0,0,0,holiday+xmas+newyear,1,0,0,holiday+home
39940842,7121092,YES,28,2,0.110209762071,0.0506002028913,0,1,1,holiday+home,1,0,0,holiday+home
45796182,7121092,YES,5,2,0.110209762071,0.00768111214768,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
48754048,7121092,YES,2,2,0.110209762071,0.0,0,0,0,holiday+home,1,0,0,holiday+home
56102549,7121092,YES,2,2,0.110209762071,0.00327844470804,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
89321553,7121092,YES,1,2,0.110209762071,0.000196881807129,0,1,1,holiday+xmas+newyear,1,0,0,holiday+home
94853204,7121092,YES,4,2,0.110209762071,0.0170806608129,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
102816998,7121092,YES,1,2,0.110209762071,0.00164035397348,0,1,0,holiday+xmas+newyear,1,0,0,holiday+home
