True,t6
travel,15.8507071454
adventur,4.06296431699
photo,2.80676956851
best,1.6745547319
trip,1.65515365117
hotel,1.59334608548
world,1.25603989856
new,1.17083572353
luxuri,1.13980001004
island,0.952233519597
photographi,0.907283932683
vegan,0.893907317365
visit,0.878454944539
food,0.814103019806
citi,0.803873800431
place,0.768340497784
vacat,0.768231487923
holiday,0.742643398477
beach,0.742155154049
guid,0.71672394124
explor,0.702185529244
thing,0.660304845373
canada,0.658315444164
tip,0.652309297512
blog,0.637203126341
beauti,0.606729030257
whi,0.605201193218
experi,0.589360650081
view,0.570173824261
christma,0.530810095561
post,0.529519051258
year,0.52177254522
london,0.501984140572
news,0.500355125069
free,0.49354274175
itali,0.48668078121
earn,0.483018151823
diet,0.454801101409
road,0.445500572165
review,0.435210028956
step,0.432486141517
market,0.428293466381
busi,0.424093774142
reason,0.421564713995
winter,0.388292868751
flight,0.365847159436
list,0.364771233608
gt,0.360994917101
stay,0.353586920847
time,0.346153712245
pari,0.339091138905
wine,0.328596778055
tech,0.319098824311
stori,0.308687178499
famili,0.308519764496
check,0.306980656182
sea,0.300138238592
site,0.297586673227
facebook,0.289598256704
life,0.284654514732
discov,0.28287746089
amaz,0.282221165951
uk,0.280516124175
local,0.278274417745
tour,0.277694096665
way,0.273413522838
friend,0.271096201964
book,0.270565223909
great,0.267278216835
amp,0.266564952873
natur,0.260676743712
park,0.259225304151
live,0.254652107596
foodporn,0.253282522084
countri,0.251595135779
gift,0.248807217129
quot,0.245905277946
read,0.243699773296
dure,0.239846301867
meet,0.234597861936
art,0.232109744633
shot,0.227353548365
festiv,0.227192297912
america,0.224174792694
awesom,0.219201514091
stun,0.218875211853
dream,0.218568174707
build,0.218330071272
bite,0.21823764787
ultim,0.217663272608
video,0.216583068506
offer,0.214862965716
nyc,0.212273914203
fall,0.210902705322
drink,0.209885950378
https,0.20946954504
pack,0.208284053064
foodi,0.20639582504
learn,0.206053421614
blogger,0.205686595298
south,0.20457282584
dec,0.204567199022
fli,0.204175378399
san,0.201921641301
day,0.200607062455
restaur,0.200297398634
spot,0.198276201481
turkey,0.194787978442
near,0.193250556917
land,0.189936795799
eat,0.189476465177
nation,0.189198280957
guest,0.183938329312
home,0.183199775662
instagram,0.183094003722
inspir,0.180784320708
deal,0.177074976987
usa,0.173582778827
enjoy,0.171609584059
ride,0.170175997691
light,0.168777526796
plan,0.166571826871
essenti,0.166035276153
decemb,0.165503494385
air,0.163203619761
burger,0.161546767512
cultur,0.161385612333
water,0.16066821643
street,0.158167464048
spend,0.151215204762
program,0.151093274234
start,0.146993300752
app,0.146534002298
month,0.145264484211
health,0.145027879402
intern,0.143352674073
imag,0.142875556332
secret,0.142730488511
save,0.140875369546
daili,0.140642456892
chat,0.140125124211
trend,0.139929202018
fit,0.138324795017
big,0.137159345836
old,0.136870926701
add,0.134392084573
women,0.134321201129
york,0.133434911369
town,0.133174366197
wild,0.131841506368
head,0.131636363377
hour,0.131287206538
servic,0.130538751891
pic,0.130070558679
ship,0.129833629805
chang,0.129456612842
celebr,0.128791745108
startup,0.128337551931
welcom,0.127489321103
begin,0.127115398669
real,0.126781804629
